"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 00:43:52 EST 2022","Mon Dec 19 00:43:53 EST 2022","729","","Login","","Login","Verify error for empty login flow","Verify error for empty login flow",""
"broken","Mon Dec 19 00:43:45 EST 2022","Mon Dec 19 00:43:45 EST 2022","565","","Sign Up","","Sign Up","Verify no gender button is selected","Verify no gender button is selected",""
"broken","Mon Dec 19 00:43:51 EST 2022","Mon Dec 19 00:43:51 EST 2022","375","","Login","","Login","Verify user gets a new page when click Instagram","Verify user gets a new page when click Instagram",""
"broken","Mon Dec 19 00:43:45 EST 2022","Mon Dec 19 00:43:46 EST 2022","366","","Sign Up","","Sign Up","Verify user gets error if already registered","Verify user gets error if already registered",""
"broken","Mon Dec 19 00:43:51 EST 2022","Mon Dec 19 00:43:52 EST 2022","593","","Login","","Login","Verify user gets a new page when click Meta Pay","Verify user gets a new page when click Meta Pay",""
"broken","Mon Dec 19 00:43:51 EST 2022","Mon Dec 19 00:43:51 EST 2022","265","","Login","","Login","Verify user gets a new page when click Oculus","Verify user gets a new page when click Oculus",""
"broken","Mon Dec 19 00:43:52 EST 2022","Mon Dec 19 00:43:52 EST 2022","372","","Login","","Login","Verify user gets a new page when click Portal","Verify user gets a new page when click Portal",""
"failed","Mon Dec 19 00:43:43 EST 2022","Mon Dec 19 00:43:46 EST 2022","3088","","Login","","Login","Verify error for invalid login","Verify error for invalid login",""
"failed","Mon Dec 19 00:43:46 EST 2022","Mon Dec 19 00:43:49 EST 2022","3409","","Login","","Login","Verify error for invalid password","Verify error for invalid password",""
"passed","Mon Dec 12 09:31:28 EST 2022","Mon Dec 12 09:31:29 EST 2022","1573","","Login","","Login","Verify error for empty login flow","Verify error for empty login flow",""
"passed","Mon Dec 19 00:43:43 EST 2022","Mon Dec 19 00:43:45 EST 2022","2167","","Sign Up","","Sign Up","Verify current date is displayed on Sign-Up form","Verify current date is displayed on Sign-Up form",""
